date,missed_calls_by_language
01/01/2022,English
01/01/2022,Sinhala
02/01/2022,English
02/01/2022,Sinhala
03/01/2022,English
03/01/2022,Sinhala
04/01/2022,English
04/01/2022,Sinhala
05/01/2022,English
05/01/2022,Sinhala
06/01/2022,English
06/01/2022,Sinhala
07/01/2022,Tamil
07/01/2022,Sinhala
07/01/2022,English
08/01/2022,Sinhala
08/01/2022,English
09/01/2022,English
09/01/2022,Sinhala
10/01/2022,Tamil
10/01/2022,Sinhala
10/01/2022,English
11/01/2022,English
11/01/2022,Tamil
11/01/2022,Sinhala
12/01/2022,English
12/01/2022,Sinhala
13/01/2022,English
13/01/2022,Sinhala
14/01/2022,Sinhala
14/01/2022,English
15/01/2022,English
16/01/2022,English
16/01/2022,Tamil
16/01/2022,Sinhala
17/01/2022,English
17/01/2022,Sinhala
18/01/2022,English
18/01/2022,Sinhala
19/01/2022,English
19/01/2022,Sinhala
20/01/2022,Sinhala
20/01/2022,English
20/01/2022,Tamil
21/01/2022,English
21/01/2022,Sinhala
22/01/2022,English
22/01/2022,Sinhala
22/01/2022,Tamil
23/01/2022,English
24/01/2022,Tamil
24/01/2022,English
24/01/2022,Sinhala
25/01/2022,Sinhala
25/01/2022,English
25/01/2022,Tamil
26/01/2022,English
26/01/2022,Tamil
26/01/2022,Sinhala
27/01/2022,Sinhala
27/01/2022,English
28/01/2022,Sinhala
28/01/2022,English
29/01/2022,English
29/01/2022,Sinhala
30/01/2022,Sinhala
30/01/2022,English
31/01/2022,English
31/01/2022,Sinhala
01/02/2022,English
02/02/2022,English
03/02/2022,Sinhala
03/02/2022,English
04/02/2022,Sinhala
04/02/2022,English
05/02/2022,English
05/02/2022,Sinhala
05/02/2022,Tamil
06/02/2022,Sinhala
06/02/2022,English
07/02/2022,English
07/02/2022,Tamil
07/02/2022,Sinhala
08/02/2022,Sinhala
08/02/2022,Tamil
08/02/2022,English
09/02/2022,English
09/02/2022,Sinhala
10/02/2022,English
10/02/2022,Sinhala
11/02/2022,Tamil
11/02/2022,English
11/02/2022,Sinhala
12/02/2022,English
12/02/2022,Sinhala
13/02/2022,English
13/02/2022,Tamil
13/02/2022,Sinhala
14/02/2022,Sinhala
14/02/2022,English
14/02/2022,Tamil
15/02/2022,English
15/02/2022,Sinhala
16/02/2022,English
16/02/2022,Sinhala
16/02/2022,Tamil
17/02/2022,English
17/02/2022,Sinhala
18/02/2022,Sinhala
18/02/2022,English
19/02/2022,English
19/02/2022,Sinhala
20/02/2022,English
20/02/2022,Sinhala
21/02/2022,English
21/02/2022,Sinhala
21/02/2022,Tamil
22/02/2022,Sinhala
22/02/2022,English
23/02/2022,English
23/02/2022,Sinhala
24/02/2022,English
24/02/2022,Sinhala
24/02/2022,Tamil
25/02/2022,Sinhala
25/02/2022,English
26/02/2022,English
26/02/2022,Tamil
27/02/2022,English
27/02/2022,Sinhala
27/02/2022,Tamil
28/02/2022,Tamil
28/02/2022,English
28/02/2022,Sinhala
01/03/2022,English
02/03/2022,English
02/03/2022,Sinhala
03/03/2022,English
03/03/2022,Tamil
04/03/2022,English
05/03/2022,Tamil
05/03/2022,English
05/03/2022,Sinhala
06/03/2022,Sinhala
06/03/2022,English
06/03/2022,Tamil
07/03/2022,English
07/03/2022,Tamil
08/03/2022,English
08/03/2022,Tamil
08/03/2022,Sinhala
09/03/2022,Sinhala
09/03/2022,English
09/03/2022,Tamil
10/03/2022,English
10/03/2022,Sinhala
11/03/2022,English
12/03/2022,English
12/03/2022,Sinhala
12/03/2022,Tamil
13/03/2022,Sinhala
13/03/2022,English
13/03/2022,Tamil
14/03/2022,English
14/03/2022,Tamil
14/03/2022,Sinhala
15/03/2022,English
15/03/2022,Sinhala
15/03/2022,Tamil
16/03/2022,English
16/03/2022,Sinhala
17/03/2022,English
17/03/2022,Sinhala
18/03/2022,English
18/03/2022,Sinhala
19/03/2022,English
19/03/2022,Sinhala
20/03/2022,English
21/03/2022,Sinhala
21/03/2022,English
21/03/2022,Tamil
22/03/2022,English
22/03/2022,Tamil
23/03/2022,English
23/03/2022,Sinhala
23/03/2022,Tamil
24/03/2022,English
24/03/2022,Sinhala
25/03/2022,English
25/03/2022,Tamil
26/03/2022,Sinhala
26/03/2022,English
26/03/2022,Tamil
27/03/2022,English
28/03/2022,Sinhala
28/03/2022,English
29/03/2022,Sinhala
29/03/2022,English
30/03/2022,English
30/03/2022,Sinhala
31/03/2022,English
31/03/2022,Sinhala
01/04/2022,Sinhala
01/04/2022,English
02/04/2022,English
02/04/2022,Sinhala
03/04/2022,Sinhala
03/04/2022,English
03/04/2022,Tamil
04/04/2022,Sinhala
04/04/2022,English
05/04/2022,English
05/04/2022,Sinhala
06/04/2022,English
06/04/2022,Sinhala
07/04/2022,Sinhala
07/04/2022,English
07/04/2022,Tamil
08/04/2022,Tamil
08/04/2022,Sinhala
08/04/2022,English
09/04/2022,Sinhala
09/04/2022,English
10/04/2022,English
10/04/2022,Sinhala
11/04/2022,English
11/04/2022,Sinhala
12/04/2022,English
12/04/2022,Sinhala
13/04/2022,English
13/04/2022,Sinhala
14/04/2022,Tamil
14/04/2022,Sinhala
14/04/2022,English
15/04/2022,English
15/04/2022,Sinhala
15/04/2022,Tamil
16/04/2022,English
16/04/2022,Sinhala
17/04/2022,Sinhala
17/04/2022,English
18/04/2022,English
18/04/2022,Sinhala
19/04/2022,Sinhala
19/04/2022,English
20/04/2022,English
21/04/2022,English
21/04/2022,Sinhala
22/04/2022,English
22/04/2022,Sinhala
23/04/2022,English
23/04/2022,Sinhala
24/04/2022,Sinhala
24/04/2022,Tamil
24/04/2022,English
25/04/2022,English
25/04/2022,Sinhala
26/04/2022,Tamil
26/04/2022,Sinhala
26/04/2022,English
27/04/2022,Sinhala
27/04/2022,English
27/04/2022,Tamil
28/04/2022,English
28/04/2022,Tamil
28/04/2022,Sinhala
29/04/2022,Sinhala
29/04/2022,English
30/04/2022,English
30/04/2022,Sinhala
01/05/2022,English
01/05/2022,Sinhala
02/05/2022,English
02/05/2022,Sinhala
03/05/2022,English
03/05/2022,Sinhala
04/05/2022,English
04/05/2022,Sinhala
05/05/2022,English
05/05/2022,Sinhala
06/05/2022,English
07/05/2022,English
07/05/2022,Tamil
07/05/2022,Sinhala
08/05/2022,Sinhala
08/05/2022,English
09/05/2022,English
09/05/2022,Sinhala
10/05/2022,English
10/05/2022,Sinhala
10/05/2022,Tamil
11/05/2022,English
11/05/2022,Tamil
12/05/2022,English
12/05/2022,Tamil
12/05/2022,Sinhala
13/05/2022,English
13/05/2022,Sinhala
14/05/2022,English
14/05/2022,Sinhala
15/05/2022,Sinhala
15/05/2022,English
15/05/2022,Tamil
16/05/2022,Sinhala
16/05/2022,English
17/05/2022,English
17/05/2022,Sinhala
17/05/2022,Tamil
18/05/2022,Sinhala
18/05/2022,English
19/05/2022,English
19/05/2022,Sinhala
19/05/2022,Tamil
20/05/2022,Sinhala
20/05/2022,English
21/05/2022,English
21/05/2022,Sinhala
22/05/2022,English
22/05/2022,Sinhala
23/05/2022,Tamil
23/05/2022,Sinhala
23/05/2022,English
24/05/2022,English
24/05/2022,Tamil
24/05/2022,Sinhala
25/05/2022,Sinhala
25/05/2022,English
26/05/2022,Sinhala
26/05/2022,English
26/05/2022,Tamil
27/05/2022,English
27/05/2022,Sinhala
28/05/2022,English
28/05/2022,Sinhala
29/05/2022,Sinhala
29/05/2022,English
29/05/2022,Tamil
30/05/2022,English
30/05/2022,Sinhala
31/05/2022,English
31/05/2022,Sinhala
01/06/2022,English
01/06/2022,Sinhala
02/06/2022,English
02/06/2022,Sinhala
02/06/2022,Tamil
03/06/2022,English
03/06/2022,Sinhala
04/06/2022,English
04/06/2022,Sinhala
05/06/2022,Sinhala
05/06/2022,English
06/06/2022,English
06/06/2022,Sinhala
07/06/2022,English
07/06/2022,Sinhala
08/06/2022,English
08/06/2022,Sinhala
09/06/2022,English
10/06/2022,English
11/06/2022,English
11/06/2022,Sinhala
12/06/2022,Sinhala
12/06/2022,English
12/06/2022,Tamil
13/06/2022,English
13/06/2022,Tamil
13/06/2022,Sinhala
14/06/2022,Sinhala
14/06/2022,English
15/06/2022,English
15/06/2022,Sinhala
16/06/2022,English
17/06/2022,English
17/06/2022,Sinhala
18/06/2022,English
18/06/2022,Sinhala
19/06/2022,English
19/06/2022,Sinhala
20/06/2022,Sinhala
20/06/2022,English
21/06/2022,English
21/06/2022,Sinhala
22/06/2022,English
22/06/2022,Tamil
23/06/2022,English
23/06/2022,Sinhala
24/06/2022,Sinhala
24/06/2022,English
25/06/2022,English
25/06/2022,Sinhala
26/06/2022,Sinhala
26/06/2022,English
27/06/2022,English
28/06/2022,English
28/06/2022,Sinhala
28/06/2022,Tamil
29/06/2022,English
29/06/2022,Sinhala
30/06/2022,English
30/06/2022,Sinhala
30/06/2022,Tamil
01/07/2022,Sinhala
01/07/2022,English
02/07/2022,Sinhala
02/07/2022,Tamil
02/07/2022,English
03/07/2022,English
03/07/2022,Sinhala
03/07/2022,Tamil
04/07/2022,Sinhala
04/07/2022,English
05/07/2022,English
05/07/2022,Tamil
05/07/2022,Sinhala
06/07/2022,English
06/07/2022,Tamil
06/07/2022,Sinhala
07/07/2022,Sinhala
07/07/2022,English
08/07/2022,English
08/07/2022,Sinhala
09/07/2022,English
09/07/2022,Sinhala
10/07/2022,Sinhala
10/07/2022,English
10/07/2022,Tamil
11/07/2022,Sinhala
11/07/2022,English
12/07/2022,English
12/07/2022,Tamil
12/07/2022,Sinhala
13/07/2022,English
13/07/2022,Sinhala
14/07/2022,English
14/07/2022,Tamil
15/07/2022,English
15/07/2022,Sinhala
16/07/2022,English
16/07/2022,Sinhala
17/07/2022,Sinhala
17/07/2022,English
18/07/2022,Sinhala
18/07/2022,English
19/07/2022,English
19/07/2022,Sinhala
20/07/2022,English
20/07/2022,Tamil
20/07/2022,Sinhala
21/07/2022,English
21/07/2022,Sinhala
22/07/2022,English
22/07/2022,Sinhala
23/07/2022,English
23/07/2022,Sinhala
23/07/2022,Tamil
24/07/2022,English
24/07/2022,Tamil
25/07/2022,English
26/07/2022,English
26/07/2022,Sinhala
26/07/2022,Tamil
27/07/2022,English
27/07/2022,Sinhala
27/07/2022,Tamil
28/07/2022,English
28/07/2022,Sinhala
28/07/2022,Tamil
29/07/2022,Sinhala
29/07/2022,Tamil
29/07/2022,English
30/07/2022,Sinhala
30/07/2022,Tamil
30/07/2022,English
31/07/2022,English
31/07/2022,Sinhala
01/08/2022,Sinhala
01/08/2022,English
01/08/2022,Tamil
02/08/2022,Sinhala
02/08/2022,English
03/08/2022,English
03/08/2022,Sinhala
04/08/2022,Sinhala
04/08/2022,English
05/08/2022,English
05/08/2022,Sinhala
05/08/2022,Tamil
06/08/2022,English
06/08/2022,Sinhala
07/08/2022,Sinhala
07/08/2022,Tamil
07/08/2022,English
08/08/2022,English
08/08/2022,Tamil
08/08/2022,Sinhala
09/08/2022,English
10/08/2022,English
10/08/2022,Sinhala
11/08/2022,English
11/08/2022,Sinhala
11/08/2022,Tamil
12/08/2022,English
12/08/2022,Sinhala
13/08/2022,English
13/08/2022,Sinhala
14/08/2022,English
14/08/2022,Sinhala
15/08/2022,English
15/08/2022,Sinhala
15/08/2022,Tamil
16/08/2022,English
16/08/2022,Tamil
16/08/2022,Sinhala
17/08/2022,English
17/08/2022,Sinhala
18/08/2022,Sinhala
18/08/2022,English
18/08/2022,Tamil
19/08/2022,Sinhala
19/08/2022,English
19/08/2022,Tamil
20/08/2022,Sinhala
20/08/2022,English
20/08/2022,Tamil
21/08/2022,Sinhala
21/08/2022,English
22/08/2022,English
22/08/2022,Tamil
23/08/2022,English
23/08/2022,Sinhala
24/08/2022,Sinhala
24/08/2022,English
24/08/2022,Tamil
25/08/2022,English
25/08/2022,Sinhala
26/08/2022,English
26/08/2022,Sinhala
27/08/2022,English
27/08/2022,Sinhala
28/08/2022,English
28/08/2022,Tamil
28/08/2022,Sinhala
29/08/2022,English
29/08/2022,Sinhala
30/08/2022,Sinhala
30/08/2022,English
31/08/2022,Sinhala
31/08/2022,English
31/08/2022,Tamil
01/09/2022,English
01/09/2022,Sinhala
02/09/2022,English
02/09/2022,Sinhala
03/09/2022,English
03/09/2022,Sinhala
04/09/2022,English
04/09/2022,Sinhala
05/09/2022,English
05/09/2022,Sinhala
06/09/2022,English
06/09/2022,Sinhala
07/09/2022,English
07/09/2022,Sinhala
07/09/2022,Tamil
08/09/2022,Sinhala
08/09/2022,English
09/09/2022,Sinhala
09/09/2022,English
10/09/2022,English
10/09/2022,Sinhala
11/09/2022,English
11/09/2022,Sinhala
12/09/2022,English
13/09/2022,English
13/09/2022,Sinhala
13/09/2022,Tamil
14/09/2022,Sinhala
14/09/2022,English
15/09/2022,English
15/09/2022,Sinhala
16/09/2022,Sinhala
16/09/2022,English
17/09/2022,Sinhala
17/09/2022,English
17/09/2022,Tamil
18/09/2022,Sinhala
18/09/2022,English
19/09/2022,Sinhala
19/09/2022,English
20/09/2022,English
20/09/2022,Sinhala
20/09/2022,Tamil
21/09/2022,Tamil
21/09/2022,English
21/09/2022,Sinhala
22/09/2022,English
22/09/2022,Sinhala
22/09/2022,Tamil
23/09/2022,English
23/09/2022,Sinhala
24/09/2022,English
24/09/2022,Sinhala
25/09/2022,English
26/09/2022,English
27/09/2022,English
27/09/2022,Sinhala
28/09/2022,English
28/09/2022,Sinhala
29/09/2022,Sinhala
29/09/2022,English
30/09/2022,English
01/10/2022,English
01/10/2022,Sinhala
02/10/2022,Tamil
02/10/2022,English
02/10/2022,Sinhala
03/10/2022,English
03/10/2022,Sinhala
03/10/2022,Tamil
04/10/2022,Sinhala
04/10/2022,English
05/10/2022,Sinhala
05/10/2022,English
05/10/2022,Tamil
06/10/2022,English
06/10/2022,Tamil
07/10/2022,English
07/10/2022,Sinhala
08/10/2022,English
08/10/2022,Sinhala
09/10/2022,Sinhala
09/10/2022,English
09/10/2022,Tamil
10/10/2022,English
11/10/2022,Tamil
11/10/2022,English
11/10/2022,Sinhala
12/10/2022,English
12/10/2022,Sinhala
13/10/2022,English
13/10/2022,Sinhala
14/10/2022,Sinhala
14/10/2022,English
15/10/2022,English
15/10/2022,Sinhala
15/10/2022,Tamil
16/10/2022,English
17/10/2022,Sinhala
17/10/2022,English
17/10/2022,Tamil
18/10/2022,Sinhala
18/10/2022,Tamil
18/10/2022,English
19/10/2022,English
19/10/2022,Tamil
19/10/2022,Sinhala
20/10/2022,Sinhala
20/10/2022,English
21/10/2022,English
21/10/2022,Sinhala
22/10/2022,Sinhala
22/10/2022,English
23/10/2022,Sinhala
23/10/2022,English
24/10/2022,English
24/10/2022,Sinhala
25/10/2022,Sinhala
25/10/2022,English
26/10/2022,English
26/10/2022,Sinhala
27/10/2022,Sinhala
27/10/2022,English
28/10/2022,English
28/10/2022,Sinhala
29/10/2022,English
29/10/2022,Sinhala
30/10/2022,English
30/10/2022,Tamil
31/10/2022,Sinhala
31/10/2022,English
31/10/2022,Tamil
01/11/2022,English
02/11/2022,Sinhala
02/11/2022,English
03/11/2022,English
03/11/2022,Sinhala
04/11/2022,Sinhala
04/11/2022,English
05/11/2022,English
05/11/2022,Sinhala
06/11/2022,Sinhala
06/11/2022,English
07/11/2022,English
07/11/2022,Sinhala
08/11/2022,Sinhala
08/11/2022,English
08/11/2022,Tamil
09/11/2022,English
09/11/2022,Sinhala
09/11/2022,Tamil
10/11/2022,English
10/11/2022,Sinhala
11/11/2022,English
11/11/2022,Sinhala
12/11/2022,English
12/11/2022,Sinhala
13/11/2022,English
13/11/2022,Sinhala
13/11/2022,Tamil
14/11/2022,English
14/11/2022,Tamil
15/11/2022,English
15/11/2022,Tamil
15/11/2022,Sinhala
16/11/2022,English
16/11/2022,Sinhala
17/11/2022,English
17/11/2022,Sinhala
18/11/2022,English
18/11/2022,Sinhala
18/11/2022,Tamil
19/11/2022,English
20/11/2022,English
21/11/2022,English
21/11/2022,Sinhala
21/11/2022,Tamil
22/11/2022,Sinhala
22/11/2022,English
23/11/2022,English
23/11/2022,Sinhala
24/11/2022,English
24/11/2022,Sinhala
25/11/2022,English
25/11/2022,Sinhala
26/11/2022,English
26/11/2022,Sinhala
26/11/2022,Tamil
27/11/2022,Sinhala
27/11/2022,English
27/11/2022,Tamil
28/11/2022,English
28/11/2022,Sinhala
28/11/2022,Tamil
29/11/2022,English
29/11/2022,Sinhala
30/11/2022,Tamil
30/11/2022,English
30/11/2022,Sinhala
01/12/2022,Sinhala
01/12/2022,English
